activity_date_utc,bid_count,dogs_with_bids,unique_bidders,first_block,last_block,confidence
2025-02-16,2,2,2,25460907,25461076,verified_onchain
2025-02-17,3,1,3,25463376,25470091,verified_onchain
2025-02-18,1,1,1,25473837,25473837,verified_onchain
2025-02-19,3,2,3,25477501,25478626,verified_onchain
2025-02-20,4,2,3,25479804,25483219,verified_onchain
2025-02-21,4,2,2,25484520,25490125,verified_onchain
2025-02-22,6,2,3,25491885,25494223,verified_onchain
2025-02-23,5,2,2,25498932,25499032,verified_onchain
2025-02-24,4,1,3,25500290,25503833,verified_onchain
2025-02-25,9,2,3,25504969,25510110,verified_onchain
2025-02-26,16,2,5,25514514,25515127,verified_onchain
2025-02-27,3,1,3,25515302,25519289,verified_onchain
2025-02-28,3,1,2,25522544,25524507,verified_onchain
2025-03-01,4,2,2,25526252,25529381,verified_onchain
2025-03-02,5,2,3,25530252,25534588,verified_onchain
2025-03-03,4,2,2,25537638,25540166,verified_onchain
2025-03-04,2,2,1,25540321,25545944,verified_onchain
2025-03-05,1,1,1,25555581,25555581,verified_onchain
2025-03-06,5,2,2,25557004,25563714,verified_onchain
2025-03-07,1,1,1,25569617,25569617,verified_onchain
2025-03-09,1,1,1,25574587,25574587,verified_onchain
2025-03-10,1,1,1,25580006,25580006,verified_onchain
2025-03-11,1,1,1,25585601,25585601,verified_onchain
2025-03-12,1,1,1,25591680,25591680,verified_onchain
2025-03-13,1,1,1,25595918,25595918,verified_onchain
2025-03-14,5,2,3,25598239,25600418,verified_onchain
2025-03-15,6,2,3,25602757,25604297,verified_onchain
2025-03-16,3,1,2,25607589,25608249,verified_onchain
2025-03-17,2,1,2,25611805,25612342,verified_onchain
2025-03-18,4,1,2,25616209,25617016,verified_onchain
2025-03-19,2,1,2,25620482,25621623,verified_onchain
2025-03-20,3,1,3,25624291,25624626,verified_onchain
2025-03-21,2,2,2,25626973,25627910,verified_onchain
2025-03-22,4,2,3,25630120,25631799,verified_onchain
2025-03-23,1,1,1,25635386,25635386,verified_onchain
2025-03-24,1,1,1,25639475,25639475,verified_onchain
2025-03-25,4,2,4,25642192,25644309,verified_onchain
2025-03-26,4,2,3,25646161,25647998,verified_onchain
2025-03-27,5,2,2,25648936,25650397,verified_onchain
2025-03-28,2,2,2,25651380,25655113,verified_onchain
2025-03-29,4,2,3,25655961,25658760,verified_onchain
2025-03-30,2,2,2,25661915,25662023,verified_onchain
2025-03-31,3,2,2,25666001,25666419,verified_onchain
2025-04-01,5,2,4,25667274,25670718,verified_onchain
2025-04-02,9,2,6,25671141,25674802,verified_onchain
2025-04-03,7,2,5,25676089,25678398,verified_onchain
2025-04-04,11,2,3,25678614,25681767,verified_onchain
2025-04-05,3,1,2,25683393,25684576,verified_onchain
2025-04-06,3,1,2,25685330,25686585,verified_onchain
2025-04-07,4,1,2,25689055,25691114,verified_onchain
2025-04-08,3,1,3,25692990,25696650,verified_onchain
2025-04-09,4,1,4,25698752,25699534,verified_onchain
2025-04-10,3,1,3,25701755,25704611,verified_onchain
2025-04-11,2,1,2,25705899,25707033,verified_onchain
2025-04-12,3,1,2,25709880,25711770,verified_onchain
2025-04-13,2,1,2,25714108,25714233,verified_onchain
2025-04-14,2,2,2,25718082,25718693,verified_onchain
2025-04-15,2,1,2,25722520,25722541,verified_onchain
2025-04-16,6,2,3,25724668,25727671,verified_onchain
2025-04-17,2,2,2,25729766,25730295,verified_onchain
2025-04-18,3,1,3,25764322,25769180,verified_onchain
2025-04-19,1,1,1,25771412,25771412,verified_onchain
2025-04-20,2,2,2,25773657,25775068,verified_onchain
2025-04-21,2,2,2,25776952,25778591,verified_onchain
2025-04-22,4,2,3,25780932,25782387,verified_onchain
2025-04-23,1,1,1,25786418,25786418,verified_onchain
2025-04-24,1,1,1,25790679,25790679,verified_onchain
2025-04-25,1,1,1,25791851,25791851,verified_onchain
2025-04-26,2,1,2,25795206,25797754,verified_onchain
2025-04-27,1,1,1,25798496,25798496,verified_onchain
2025-04-28,1,1,1,25801658,25801658,verified_onchain
2025-04-29,4,1,3,25804976,25807021,verified_onchain
2025-04-30,4,1,2,25808653,25810664,verified_onchain
2025-05-01,1,1,1,25811975,25811975,verified_onchain
2025-05-02,1,1,1,25815144,25815144,verified_onchain
2025-05-03,8,2,4,25818408,25820422,verified_onchain
2025-05-04,2,1,2,25822528,25823212,verified_onchain
2025-05-05,2,2,2,25825357,25826683,verified_onchain
2025-05-06,5,2,2,25828555,25830321,verified_onchain
2025-05-07,2,2,2,25831103,25833673,verified_onchain
2025-05-08,1,1,1,25837422,25837422,verified_onchain
2025-05-09,3,2,2,25839187,25841208,verified_onchain
2025-05-10,5,2,4,25843070,25844996,verified_onchain
2025-05-11,9,2,4,25846931,25848428,verified_onchain
2025-05-12,6,1,3,25850444,25853307,verified_onchain
2025-05-13,5,2,4,25855763,25859790,verified_onchain
