chain_id,contract_address,block_number,block_hash,tx_hash,tx_index,log_index,block_time_utc,dog_id,bidder,value_raw,value_display_native,display_decimals_confidence,extended,source_confidence,run_id
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26609131,0x6bdf5271b7d760d012a154dd6e76a9658ebd33bbdf45289b74fa4f26eb8f8897,0xcd8098afb0f70455c8995dc0a0a2a8b10fc38a2151022caa26bd2bb9bc9b3e51,1,0,2025-12-27T07:18:21Z,579,0x412b7153504217b405af821bdcdc5f21c71e3cbc,16134000000000000000000,16134,verified_wdegen_18_decimals,1,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26609048,0xc93c604090ab90c5b91028f9f540e131aa3aa99b9d620ac77b017f9a5d97f881,0x5dc27d3f63ff98b5344336fd631306631abb7ecf264536b7639b2829131ff4a9,1,0,2025-12-27T05:10:37Z,579,0x409538216575caefe49af5af9b12ef4b4496041b,14667000000000000000000,14667,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26608873,0x32e76fb2891aa44afcfa54fc66e0d701cbd18c41e1808683b2e549b7af2a2e23,0xe13234ea64a756219758b9ba8ce53d042c7b5fd93c250ad85a7860137b878e0f,1,0,2025-12-27T00:59:17Z,579,0xc421401af43d217d8bf16f18ffd076f3c84219d9,13333000000000000000000,13333,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26608019,0x5694c0c2c584e92ea2ff14c1a7b5e855ae4e97cf0aa13d513300eb447109fa4c,0x01e242e657aa541f76c57a5449b389cb50dbdca78ad7a2e6df3c7403472a0e80,1,0,2025-12-26T07:10:34Z,578,0xc7aab24ede583b0dc9041343ae51466bb86a1ab7,17220000000000000000000,17220,verified_wdegen_18_decimals,1,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26608013,0x2a5885ea6abcf3ece608c6890517228c5771b67db79d6f64799c8d48494fcb49,0x3252fb236371245edd0e2ab5a575ffa53fbdb664677c9b899e894e3d20bf7f79,1,0,2025-12-26T07:08:09Z,578,0x412b7153504217b405af821bdcdc5f21c71e3cbc,15654000000000000000000,15654,verified_wdegen_18_decimals,1,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26607982,0x16928ecb95962531789a80687423a002f5bfe3273e34c2230b99546928db544e,0x8fdb32f42659167faaf7d608c52eb4c70f18a71c9cbd14dd3b4d57f463177ab1,1,0,2025-12-26T06:29:40Z,578,0xc7aab24ede583b0dc9041343ae51466bb86a1ab7,14010000000000000000000,14010,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26607889,0xc92cf4dca9ad39d52c21b78eb7af2c21216c2e2606bf95a8712a0e6f1a6132d9,0x8265c1b7c9143f170c6248d4394076ca58ec9689a58320a7282a182445372b7c,1,0,2025-12-26T04:24:30Z,578,0x409538216575caefe49af5af9b12ef4b4496041b,12736000000000000000000,12736,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26606554,0x3bbb0d1093336d5d38560d8408634ceba4d018e796f5d978f4f0c92c256681b7,0xdba2cd21b66f4876bde2be4b7bc04525a45a5ebe4a087a472bcf17a0cd4d6f45,1,0,2025-12-25T08:03:10Z,578,0x76d0e7a13248945ee9f808b4a472262b28778942,11578000000000000000000,11578,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26606420,0xbda918ebe2f3071597e595a8e0d15e91a74fb6eb80a2b0fcd7f55a4a36c4c310,0x3caee5d05f9be3e1d853a6786f57d2ff9e5a38e73828800c28b2d80d6f753694,1,0,2025-12-25T05:13:12Z,577,0x409538216575caefe49af5af9b12ef4b4496041b,14009000000000000000000,14009,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26606081,0xca351db079f23c3acec29cb5102c361f154ef103289a4b49acbbf183e82df587,0x9bd55c5ba8d2297b92401e285d03a5af11f7c2477211c59d58616b937bcf93a0,1,0,2025-12-24T22:25:51Z,577,0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,12735000000000000000000,12735,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
