bid_time_utc,token_id,bidder,bidder_url,bidder_wallet,bid,bid_eth,bid_usd,extended,block_number,tx_hash
2026-05-22 14:59:15,722,@bitcoinvestor,https://farcaster.xyz/bitcoinvestor,0x7732f594c38d4940e1076aa9f6f53065b7915953,0.01000 ETH ($21),0.01,21.11,0,46336304,0x9297876da10a112424481247b5881a30760a69e96d9dd659fe6c92cf05ee2d2b
2026-05-22 00:00:29,721,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01580 ETH ($33),0.0158,33.36,0,46309341,0xe6925a324b0f7a18c3ae09975fba5a89afe56e550e7a79e3681327f7feffea32
2026-05-21 21:29:39,721,@richieboston,https://farcaster.xyz/richieboston,0xd559e433718b1f2667fde7c859fc982cf0bc491f,0.00061 ETH ($1),0.00061,1.29,0,46304816,0x47592ad1cf41c38fc2100adca38a72abc59e3d737714cf4025c021723252cc23
2026-05-21 20:43:21,721,@cryptomill,https://farcaster.xyz/cryptomill,0x71ce5605ab649d97446ef179bc2983b18ddc9a48,0.00055 ETH ($1),0.00055,1.16,0,46303427,0xa49b39d460e800d45f448a8faa4412cfefd7c1e972803291b4d0dcf1dd04699e
2026-05-21 18:42:13,721,0x4119…72cb,,0x4119cfa20129f9ea739590ea914cdfbc0c0772cb,0.00050 ETH ($1),0.0005,1.06,0,46299793,0xddc16538aba14129ed9f01fd67abf5e143b3c628513793b460aee5ff4c4afb57
2026-05-21 14:48:53,720,@bitcoinvestor,https://farcaster.xyz/bitcoinvestor,0x7732f594c38d4940e1076aa9f6f53065b7915953,0.01650 ETH ($35),0.0165,34.83,0,46292793,0xad4b25003203dfb10e08e519d65714ac476085766da5d80a5bda298b09e5a3bb
2026-05-21 14:29:01,720,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01500 ETH ($32),0.015,31.67,0,46292197,0xc1bfa7e619f194fe8783d98cec4a6783fe14db30aa8c0fd9ed55cc2d7e717291
2026-05-21 13:40:33,720,@bitcoinvestor,https://farcaster.xyz/bitcoinvestor,0x7732f594c38d4940e1076aa9f6f53065b7915953,0.01321 ETH ($28),0.01321,27.89,0,46290743,0xe0eededebb64ff8b26d03aeb26387c8ae92a88a0db26dac601da5c054479cf29
2026-05-21 13:14:39,720,@skunkape,https://farcaster.xyz/skunkape,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,0.01200 ETH ($25),0.012,25.33,0,46289966,0x271d0f7b24fd4abdcd44d1c84d0eea967857985eb2d6c5a051fec39981115aab
2026-05-20 16:38:31,720,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00630 ETH ($13),0.0063,13.3,0,46252882,0x2fc92dcfb019ae8cecb4d29d01f0ea32c4e6184f089d2bea464c643fd56b0714
