token_id,end_time_utc,block_number,tx_hash,log_index
630,2026-02-19 06:01:53,42345633,0x0fdc46f88e2c4c8696f4e178b9985dfb82a21e39f8358b3ecc8398ace5478eb6,682
630,2026-02-19 06:03:25,42345679,0x8ced3898dbcb16b2062dc88c0f026e380459b24723aeba5c4ea4174038ead125,364
630,2026-02-19 06:07:09,42345791,0xe3c395632b0caee21da6baf3af5e92ab6b221e6f7bcbb33be6356afae2565c76,773
630,2026-02-19 06:11:35,42345924,0x9ba61c37613545eb0abca8815928d7000e7b4447b369f64d5fad45871e7e9b47,686
631,2026-02-20 06:19:33,42389363,0x530df15e155caae7483d8a08a1c5fa3cbed0361f7ec32d1281b2ab19d78e1bb2,786
636,2026-02-25 06:34:49,42605821,0x697cf073c8e325d0667ecfdc2f668181f140d8528a0458a91d6b67a286991ea1,311
639,2026-02-28 06:52:01,42735937,0xd8091bc79fb2551aebdfaa8a727abb16742b25d9a020fd03887b821609202a72,119
639,2026-02-28 06:54:53,42736023,0xda9ce5ee99eca0c4fe49bfeb7b2199856b5cf22e09f5c24fe26ba6b708ebcef1,142
640,2026-03-01 06:56:15,42779264,0x3eecc5608802494a64e70498012ce371f201bb944b909ca6ec84b24bccb080d4,101
642,2026-03-03 07:33:01,42866767,0x20aee6f70580266e70bf4d96fa1d46e215f38894d7e33cc3aca0d57bdb9ebb4b,748
642,2026-03-03 07:33:45,42866789,0x2f691c1513372a1bdca9d9097d79589319b78185e2670db0f997398ae0d89eae,401
642,2026-03-03 07:35:51,42866852,0xeff9c3c8b1c5054e7b724f63a2508ea8e469d20095ea8f5bf1a71ad8d82c04dc,969
642,2026-03-03 07:36:11,42866862,0xbf7f96bd825bb05d79027ab055dc59f750e52ae8264907878b611244d19f057d,467
642,2026-03-03 07:37:41,42866907,0xf90e19d1b24250a819b0e33ac865b418b271e46adc1893b44a3d5604a26f12d9,622
642,2026-03-03 07:39:05,42866949,0x08e5f19ecd5f24c1578546401f32703701ae32d65b299827950a628067ad6527,832
645,2026-03-06 07:58:19,42997126,0xd5ac6efbd28a33b773fa0f72f2fb9ae6a686d01bf099e6aa197cc5d28b741762,495
645,2026-03-06 07:58:49,42997141,0x965c14848f9b762f10dc683a1d0ba6b673544d0e5d5860763aae12f2ab90214d,537
645,2026-03-06 08:00:11,42997182,0x71d48d8976a258d709b0ac56e27c6427a44e9bcc9c4c76d5031222607ec25f3d,609
646,2026-03-07 08:04:23,43040508,0x403f3922104f837972c80a3da4a8ef1a8071e97980e4d242af63ecefef38fe60,629
646,2026-03-07 08:05:19,43040536,0x338d8c236754450e73633901e215ee3b7270e051a9d1b99225a414bfb070517e,1221
647,2026-03-08 08:08:51,43083842,0x5eeb06eaa7702be8c8cd8be06fe94218989b671b10b74bae73278423df541d6e,338
647,2026-03-08 08:09:15,43083854,0x01a0af73ac167abb415edaea360e99ccbe0ed703502a9d45b8240887786175a9,427
647,2026-03-08 08:10:13,43083883,0xaa3f84d68c2dfbb37f29c8d3476a38fd006278144fd3d5160a2b7f59277e33ef,280
647,2026-03-08 08:11:31,43083922,0x065e0c1a618da31684ed99d3d4d390b79b1601d6059fe66efdeb63783bc1e4af,774
